text,label
Exam tomorrow moved to 8am,2
Weekly deals and promotions,0
Project deadline reminder,2
Team standup meeting at 10,2
New comment on your post,1
Limited-time offer: 30% off all items,0
Your password was changed successfully,2
Sprint retrospective rescheduled to Friday,2
Invitation: Quarterly all-hands meeting,2
Welcome to our newsletter!,0
Assignment submission confirmed,2
You have a new follower,1
Holiday sale starts now,0
Interview scheduled for Monday 2pm,2
Meeting notes attached,2
Security alert: New login from Chrome,2
Flash sale ends tonight,0
Reminder: Doctor appointment at 3pm,2
Calendar invite: Product demo,2
Your friend mentioned you in a photo,1
[Reminder] Exam tomorrow moved to 8am,2
[Promo] Weekly deals and promotions,0
[Reminder] Project deadline reminder,2
[Reminder] Team standup meeting at 10,2
[Update] New comment on your post,1
[Promo] Limited-time offer: 30% off all items,0
[Reminder] Your password was changed successfully,2
[Reminder] Sprint retrospective rescheduled to Friday,2
[Reminder] Invitation: Quarterly all-hands meeting,2
[Promo] Welcome to our newsletter!,0
[Reminder] Assignment submission confirmed,2
[Update] You have a new follower,1
[Promo] Holiday sale starts now,0
[Reminder] Interview scheduled for Monday 2pm,2
[Reminder] Meeting notes attached,2
[Reminder] Security alert: New login from Chrome,2
[Promo] Flash sale ends tonight,0
[Reminder] Reminder: Doctor appointment at 3pm,2
[Reminder] Calendar invite: Product demo,2
[Update] Your friend mentioned you in a photo,1
[Reminder] Exam tomorrow moved to 8am,2
[Promo] Weekly deals and promotions,0
[Reminder] Project deadline reminder,2
[Reminder] Team standup meeting at 10,2
[Update] New comment on your post,1
[Promo] Limited-time offer: 30% off all items,0
[Reminder] Your password was changed successfully,2
[Reminder] Sprint retrospective rescheduled to Friday,2
[Reminder] Invitation: Quarterly all-hands meeting,2
[Promo] Welcome to our newsletter!,0
[Reminder] Assignment submission confirmed,2
[Update] You have a new follower,1
[Promo] Holiday sale starts now,0
[Reminder] Interview scheduled for Monday 2pm,2
[Reminder] Meeting notes attached,2
[Reminder] Security alert: New login from Chrome,2
[Promo] Flash sale ends tonight,0
[Reminder] Reminder: Doctor appointment at 3pm,2
[Reminder] Calendar invite: Product demo,2
[Update] Your friend mentioned you in a photo,1
[Reminder] Exam tomorrow moved to 8am,2
[Promo] Weekly deals and promotions,0
[Reminder] Project deadline reminder,2
[Reminder] Team standup meeting at 10,2
[Update] New comment on your post,1
[Promo] Limited-time offer: 30% off all items,0
[Reminder] Your password was changed successfully,2
[Reminder] Sprint retrospective rescheduled to Friday,2
[Reminder] Invitation: Quarterly all-hands meeting,2
[Promo] Welcome to our newsletter!,0
[Reminder] Assignment submission confirmed,2
[Update] You have a new follower,1
[Promo] Holiday sale starts now,0
[Reminder] Interview scheduled for Monday 2pm,2
[Reminder] Meeting notes attached,2
[Reminder] Security alert: New login from Chrome,2
[Promo] Flash sale ends tonight,0
[Reminder] Reminder: Doctor appointment at 3pm,2
[Reminder] Calendar invite: Product demo,2
[Update] Your friend mentioned you in a photo,1
[Reminder] Exam tomorrow moved to 8am,2
[Promo] Weekly deals and promotions,0
[Reminder] Project deadline reminder,2
[Reminder] Team standup meeting at 10,2
[Update] New comment on your post,1
[Promo] Limited-time offer: 30% off all items,0
[Reminder] Your password was changed successfully,2
[Reminder] Sprint retrospective rescheduled to Friday,2
[Reminder] Invitation: Quarterly all-hands meeting,2
[Promo] Welcome to our newsletter!,0
[Reminder] Assignment submission confirmed,2
[Update] You have a new follower,1
[Promo] Holiday sale starts now,0
[Reminder] Interview scheduled for Monday 2pm,2
[Reminder] Meeting notes attached,2
[Reminder] Security alert: New login from Chrome,2
[Promo] Flash sale ends tonight,0
[Reminder] Reminder: Doctor appointment at 3pm,2
[Reminder] Calendar invite: Product demo,2
[Update] Your friend mentioned you in a photo,1
[Reminder] Exam tomorrow moved to 8am,2
[Promo] Weekly deals and promotions,0
[Reminder] Project deadline reminder,2
[Reminder] Team standup meeting at 10,2
[Update] New comment on your post,1
[Promo] Limited-time offer: 30% off all items,0
[Reminder] Your password was changed successfully,2
[Reminder] Sprint retrospective rescheduled to Friday,2
[Reminder] Invitation: Quarterly all-hands meeting,2
[Promo] Welcome to our newsletter!,0
[Reminder] Assignment submission confirmed,2
[Update] You have a new follower,1
[Promo] Holiday sale starts now,0
[Reminder] Interview scheduled for Monday 2pm,2
[Reminder] Meeting notes attached,2
[Reminder] Security alert: New login from Chrome,2
[Promo] Flash sale ends tonight,0
[Reminder] Reminder: Doctor appointment at 3pm,2
[Reminder] Calendar invite: Product demo,2
[Update] Your friend mentioned you in a photo,1
[Reminder] Exam tomorrow moved to 8am,2
[Promo] Weekly deals and promotions,0
[Reminder] Project deadline reminder,2
[Reminder] Team standup meeting at 10,2
[Update] New comment on your post,1
[Promo] Limited-time offer: 30% off all items,0
[Reminder] Your password was changed successfully,2
[Reminder] Sprint retrospective rescheduled to Friday,2
[Reminder] Invitation: Quarterly all-hands meeting,2
[Promo] Welcome to our newsletter!,0
[Reminder] Assignment submission confirmed,2
[Update] You have a new follower,1
[Promo] Holiday sale starts now,0
[Reminder] Interview scheduled for Monday 2pm,2
[Reminder] Meeting notes attached,2
[Reminder] Security alert: New login from Chrome,2
[Promo] Flash sale ends tonight,0
[Reminder] Reminder: Doctor appointment at 3pm,2
[Reminder] Calendar invite: Product demo,2
[Update] Your friend mentioned you in a photo,1
[Reminder] Exam tomorrow moved to 8am,2
[Promo] Weekly deals and promotions,0
[Reminder] Project deadline reminder,2
[Reminder] Team standup meeting at 10,2
[Update] New comment on your post,1
[Promo] Limited-time offer: 30% off all items,0
[Reminder] Your password was changed successfully,2
[Reminder] Sprint retrospective rescheduled to Friday,2
[Reminder] Invitation: Quarterly all-hands meeting,2
[Promo] Welcome to our newsletter!,0
[Reminder] Assignment submission confirmed,2
[Update] You have a new follower,1
[Promo] Holiday sale starts now,0
[Reminder] Interview scheduled for Monday 2pm,2
[Reminder] Meeting notes attached,2
[Reminder] Security alert: New login from Chrome,2
[Promo] Flash sale ends tonight,0
[Reminder] Reminder: Doctor appointment at 3pm,2
[Reminder] Calendar invite: Product demo,2
[Update] Your friend mentioned you in a photo,1
[Reminder] Exam tomorrow moved to 8am,2
[Promo] Weekly deals and promotions,0
[Reminder] Project deadline reminder,2
[Reminder] Team standup meeting at 10,2
[Update] New comment on your post,1
[Promo] Limited-time offer: 30% off all items,0
[Reminder] Your password was changed successfully,2
[Reminder] Sprint retrospective rescheduled to Friday,2
[Reminder] Invitation: Quarterly all-hands meeting,2
[Promo] Welcome to our newsletter!,0
[Reminder] Assignment submission confirmed,2
[Update] You have a new follower,1
[Promo] Holiday sale starts now,0
[Reminder] Interview scheduled for Monday 2pm,2
[Reminder] Meeting notes attached,2
[Reminder] Security alert: New login from Chrome,2
[Promo] Flash sale ends tonight,0
[Reminder] Reminder: Doctor appointment at 3pm,2
[Reminder] Calendar invite: Product demo,2
[Update] Your friend mentioned you in a photo,1
[Reminder] Exam tomorrow moved to 8am,2
[Promo] Weekly deals and promotions,0
[Reminder] Project deadline reminder,2
[Reminder] Team standup meeting at 10,2
[Update] New comment on your post,1
[Promo] Limited-time offer: 30% off all items,0
[Reminder] Your password was changed successfully,2
[Reminder] Sprint retrospective rescheduled to Friday,2
[Reminder] Invitation: Quarterly all-hands meeting,2
[Promo] Welcome to our newsletter!,0
[Reminder] Assignment submission confirmed,2
[Update] You have a new follower,1
[Promo] Holiday sale starts now,0
[Reminder] Interview scheduled for Monday 2pm,2
[Reminder] Meeting notes attached,2
[Reminder] Security alert: New login from Chrome,2
[Promo] Flash sale ends tonight,0
[Reminder] Reminder: Doctor appointment at 3pm,2
[Reminder] Calendar invite: Product demo,2
[Update] Your friend mentioned you in a photo,1
